CustomerID|Description|CurrentBalance|CurrentInterestRate|DatePaymentDue|DateNotifiedOfPayment|CurrentPaymentDue|DateSinceLastPaymentMade|MissedPaymentFlag|AccountType|
423453245|"ShortLoan"|550.00|.056|10/01/2018|09/25/2018|5.50|09/01/2018|0|"ST"|
423453245|"Couch"|600.09|.023|10/01/2018|09/25/2018|60.01|09/01/2018|0|"CC"|
345653425|"Walmart"|100.00|.010|10/05/2018|09/30/2018|10.00|09/05/2018|0|"CC"|
345653425|"LuigisResturaunt"|27.99|.023|10/01/2018|09/25/2018|2.80|08/25/2018|0|"CC"|
423148894|"LongLoan"|534.64|.077|10/01/2018|09/25/2018|53.46|08/30/2018|0|"LT"|
423148894|"Menards"|140.83|.056|10/01/2018|09/25/2018|14.08|09/04/2018|1|"CC"|
677879013|"ShortLoan"|50.50|.010|10/10/2018|10/04/2018|5.05|09/05/2018|0|"ST"|
345599870|"LongLoan"|596.32|.077|10/05/2018|09/30/2018|59.63|09/03/2018|0|"LT"|
345599870|"TiresNMore"|78.03|.056|10/10/2018|10/04/2018|7.80|09/11/2018|1|"CC"|
423567890|"ShortLoan"|277.20|.023|10/10/2018|10/04/2018|27.72|09/03/2018|0|"ST"|
345812332|"LimoRental"|718.03|.010|10/10/2018|10/04/2018|71.80|09/10/2018|0|"CC"|
345812332|"Soda"|2.46|.023|10/05/2018|09/30/2018|0.25|09/01/2018|0|"CC"|
345879912|"Walmart"|103.49|.023|10/10/2018|10/04/2018|10.35|09/01/2018|0|"CC"|
423168945|"ShortLoan"|999.99|.056|10/01/2018|09/25/2018|100.00|09/02/2018|1|"ST"|
423168945|"Menards"|70.80|.010|10/05/2018|10/04/2018|7.80|09/02/2018|0|"CC"|
235445789|"McDonalds"|40.45|.077|10/10/2018|10/04/2018|4.05|09/09/2018|0|"CC"|
436789213|"NewGasTank"|275.41|.010|10/05/2018|09/30/2018|27.54|09/05/2018|0|"CC"|
436789213|"PizzaHut"|16.67|.077|10/01/2018|09/25/2018|1.67|08/30/2018|0|"CC"|
233435656|"ShortLoan"|2018.01|.056|10/10/2018|10/04/2018|201.80|08/31/2018|0|"ST"|
233435656|"SWAirlines"|449.90|.023|10/01/2018|09/25/2018|44.99|08/27/2018|0|"CC"|
435678787|"Refrigerator"|521.83|.077|10/01/2018|09/25/2018|52.18|09/01/2018|0|"CC"|
563432913|"ShortLoan"|699.00|.056|10/05/2018|09/30/2018|69.90|09/08/2018|1|"ST"|
563432913|"LongLoan"|1100.00|.010|10/10/2018|10/04/2018|110.00|09/09/2018|0|"LT|
345679898|"CeasarSalad"|3.99|.010|10/05/2018|09/30/2018|0.40|09/05/2018|0|"CC"|
345679898|"ShortLoan"|4999.90|.056|10/01/2018|09/25/2018|499.99|09/01/2018|0|"ST"|
